,id,original_image_filepath,timestamp,temperature,humidity,predicted_image_filepath,predicted_seedlings,average_height,batch_id
0,18,seedling_data\Batch_2\original_images\14-06-2024_12-56-03.png,14-06-2024_12-56-03,28.3,70.8,seedling_data\Batch_2\predicted_images\14-06-2024_12-56-03.png,0,0.0,2
1,19,seedling_data\Batch_2\original_images\14-06-2024_18-56-07.png,14-06-2024_18-56-07,28.8,70.6,seedling_data\Batch_2\predicted_images\14-06-2024_18-56-07.png,0,0.0,2
2,20,seedling_data\Batch_2\original_images\15-06-2024_00-56-10.png,15-06-2024_00-56-10,28.8,69.9,seedling_data\Batch_2\predicted_images\15-06-2024_00-56-10.png,0,0.0,2
3,21,seedling_data\Batch_2\original_images\15-06-2024_06-56-13.png,15-06-2024_06-56-13,28.9,69.9,seedling_data\Batch_2\predicted_images\15-06-2024_06-56-13.png,0,0.0,2
4,22,seedling_data\Batch_2\original_images\15-06-2024_12-56-16.png,15-06-2024_12-56-16,28.1,78.5,seedling_data\Batch_2\predicted_images\15-06-2024_12-56-16.png,6,0.48,2
5,23,seedling_data\Batch_2\original_images\15-06-2024_18-56-20.png,15-06-2024_18-56-20,28.3,79.9,seedling_data\Batch_2\predicted_images\15-06-2024_18-56-20.png,12,0.45,2
6,24,seedling_data\Batch_2\original_images\16-06-2024_00-56-23.png,16-06-2024_00-56-23,29.3,79.3,seedling_data\Batch_2\predicted_images\16-06-2024_00-56-23.png,24,0.59,2
7,25,seedling_data\Batch_2\original_images\16-06-2024_06-56-26.png,16-06-2024_06-56-26,29.5,77.1,seedling_data\Batch_2\predicted_images\16-06-2024_06-56-26.png,35,0.76,2
8,26,seedling_data\Batch_2\original_images\16-06-2024_12-56-29.png,16-06-2024_12-56-29,29.5,77.1,seedling_data\Batch_2\predicted_images\16-06-2024_12-56-29.png,47,0.97,2
9,27,seedling_data\Batch_2\original_images\16-06-2024_18-56-33.png,16-06-2024_18-56-33,29.3,73.0,seedling_data\Batch_2\predicted_images\16-06-2024_18-56-33.png,53,1.29,2
10,28,seedling_data\Batch_2\original_images\17-06-2024_00-56-36.png,17-06-2024_00-56-36,29.3,72.3,seedling_data\Batch_2\predicted_images\17-06-2024_00-56-36.png,35,1.55,2
11,29,seedling_data\Batch_2\original_images\17-06-2024_06-56-39.png,17-06-2024_06-56-39,29.2,70.8,seedling_data\Batch_2\predicted_images\17-06-2024_06-56-39.png,39,1.83,2
12,30,seedling_data\Batch_2\original_images\17-06-2024_12-56-42.png,17-06-2024_12-56-42,28.8,68.4,seedling_data\Batch_2\predicted_images\17-06-2024_12-56-42.png,44,2.15,2
13,31,seedling_data\Batch_2\original_images\17-06-2024_18-56-45.png,17-06-2024_18-56-45,25.2,66.5,seedling_data\Batch_2\predicted_images\17-06-2024_18-56-45.png,44,2.44,2
14,32,seedling_data\Batch_2\original_images\18-06-2024_00-56-48.png,18-06-2024_00-56-48,28.5,72.7,seedling_data\Batch_2\predicted_images\18-06-2024_00-56-48.png,30,2.65,2
15,33,seedling_data\Batch_2\original_images\18-06-2024_06-56-52.png,18-06-2024_06-56-52,28.7,71.6,seedling_data\Batch_2\predicted_images\18-06-2024_06-56-52.png,35,2.97,2
16,34,seedling_data\Batch_2\original_images\18-06-2024_12-56-55.png,18-06-2024_12-56-55,28.7,71.6,seedling_data\Batch_2\predicted_images\18-06-2024_12-56-55.png,38,2.84,2
17,35,seedling_data\Batch_2\original_images\18-06-2024_18-56-58.png,18-06-2024_18-56-58,28.9,71.6,seedling_data\Batch_2\predicted_images\18-06-2024_18-56-58.png,39,2.79,2
18,36,seedling_data\Batch_2\original_images\19-06-2024_00-57-02.png,19-06-2024_00-57-02,28.9,71.6,seedling_data\Batch_2\predicted_images\19-06-2024_00-57-02.png,44,2.88,2
19,37,seedling_data\Batch_2\original_images\19-06-2024_06-57-05.png,19-06-2024_06-57-05,29.0,70.2,seedling_data\Batch_2\predicted_images\19-06-2024_06-57-05.png,40,2.94,2
